,date,price
0,2018-12-01,110.0
1,2018-12-02,131.0
2,2018-12-03,131.0
3,2018-12-04,131.0
4,2018-12-05,131.0
5,2018-12-06,122.0
6,2018-12-07,131.0
7,2018-12-08,131.0
8,2018-12-09,131.0
9,2018-12-10,131.0
10,2018-12-11,131.0
11,2018-12-12,131.0
12,2018-12-13,131.0
13,2018-12-14,212.0
14,2018-12-15,212.0
15,2018-12-16,241.0
16,2018-12-17,257.0
17,2018-12-18,177.0
18,2018-12-19,177.0
19,2018-12-20,147.0
20,2018-12-21,222.0
21,2018-12-22,242.0
22,2018-12-23,242.0
23,2018-12-24,222.0
24,2018-12-25,222.0
25,2018-12-26,322.0
26,2018-12-27,307.0
27,2018-12-28,242.0
28,2018-12-29,212.0
29,2018-12-30,222.0
30,2018-12-31,222.0
31,2019-01-01,89.0
32,2019-01-02,89.0
33,2019-01-03,187.0
34,2019-01-04,167.0
35,2019-01-05,142.0
36,2019-01-06,147.0
37,2019-01-07,123.0
38,2019-01-08,123.0
39,2019-01-09,123.0
40,2019-01-10,123.0
41,2019-01-11,123.0
42,2019-01-12,123.0
43,2019-01-13,131.0
44,2019-01-14,123.0
45,2019-01-15,123.0
46,2019-01-16,123.0
47,2019-01-17,123.0
48,2019-01-18,123.0
49,2019-01-19,123.0
50,2019-01-20,131.0
51,2019-01-21,123.0
52,2019-01-22,123.0
53,2019-01-23,123.0
54,2019-01-24,123.0
55,2019-01-25,123.0
56,2019-01-26,123.0
57,2019-01-27,131.0
58,2019-01-28,123.0
59,2019-01-29,123.0
60,2019-01-30,123.0
61,2019-01-31,123.0
62,2019-02-01,123.0
63,2019-02-02,123.0
64,2019-02-03,123.0
65,2019-02-04,123.0
66,2019-02-05,123.0
67,2019-02-06,123.0
68,2019-02-07,123.0
69,2019-02-08,123.0
70,2019-02-09,131.0
71,2019-02-10,142.0
72,2019-02-11,131.0
73,2019-02-12,131.0
74,2019-02-13,223.0
75,2019-02-14,147.0
76,2019-02-15,211.0
77,2019-02-16,131.0
78,2019-02-17,131.0
79,2019-02-18,167.0
80,2019-02-19,147.0
81,2019-02-20,147.0
82,2019-02-21,147.0
83,2019-02-22,131.0
84,2019-02-23,131.0
85,2019-02-24,131.0
86,2019-02-25,131.0
87,2019-02-26,167.0
88,2019-02-27,147.0
89,2019-02-28,131.0
90,2019-03-01,131.0
91,2019-03-02,162.0
92,2019-03-03,187.0
93,2019-03-04,167.0
94,2019-03-05,167.0
95,2019-03-06,132.0
96,2019-03-07,147.0
97,2019-03-08,167.0
98,2019-03-09,167.0
99,2019-03-10,227.0
100,2019-03-11,207.0
101,2019-03-12,192.0
102,2019-03-13,207.0
103,2019-03-14,147.0
104,2019-03-15,158.0
105,2019-03-16,217.0
106,2019-03-17,227.0
107,2019-03-18,201.0
108,2019-03-19,158.0
109,2019-03-20,148.0
110,2019-03-21,201.0
111,2019-03-22,377.0
112,2019-03-23,310.0
113,2019-03-24,350.0
114,2019-03-25,297.0
115,2019-03-26,192.0
116,2019-03-27,237.0
117,2019-03-28,172.0
118,2019-03-29,201.0
119,2019-03-30,207.0
120,2019-03-31,227.0
